French Sentence,English Translation,POS Sequence,Dependency Sequence,Valence,Relative Position
Soyez le changement que vous voulez voir.,Be the change you want to see.,VERB DET NOUN PRON VERB VERB PUNCT,"soyez-obj-changement,changement-det-le,voulez-nsubj-vous,voulez-xcomp-voir",0.8,1
La vie est pleine de surprises.,Life is full of surprises.,DET NOUN AUX ADJ ADP NOUN PUNCT,"est-nsubj-vie,est-cop-est,est-amod-pleine,pleine-obl-surprises,surprises-case-de,vie-det-la",0.7,2
Le courage est la résistance à la peur.,Courage is resistance to fear.,DET NOUN AUX DET NOUN ADP DET NOUN PUNCT,"est-nsubj-courage,est-cop-est,est-obj-résistance,résistance-det-la,résistance-nmod-peur,peur-det-la,courage-det-le,peur-case-à la",0.8,2
L'optimisme est une attitude.,Optimism is an attitude.,DET NOUN AUX DET NOUN PUNCT,"est-nsubj-optimisme,est-cop-est,est-obj-attitude,attitude-det-une,optimisme-det-l'",0.9,2
Les obstacles sont des opportunités.,Obstacles are opportunities.,DET NOUN AUX DET NOUN PUNCT,"sont-nsubj-obstacles,sont-cop-sont,sont-obj-opportunités,opportunités-det-des,obstacles-det-les",0.7,2
"La patience est amère, mais son fruit est doux.","Patience is bitter, but its fruit is sweet.",DET NOUN AUX ADJ PUNCT CCONJ DET NOUN AUX ADJ PUNCT,"est-nsubj-patience,est-cop-est,est-amod-amère,est-nsubj-fruit,est-cop-est,est-amod-doux,patience-det-la,fruit-det-son",0.6,2
Le succès est au bout de l'effort.,Success is at the end of effort.,DET NOUN AUX ADP DET NOUN ADP DET NOUN PUNCT,"est-nsubj-succès,est-cop-est,est-obl-bout,bout-case-au,bout-nmod-effort,effort-det-l',succès-det-le",0.8,2
Soyez forts et courageux.,Be strong and courageous.,VERB ADJ CCONJ ADJ PUNCT,"soyez-amod-forts,forts-conj-courageux",0.9,1
Le meilleur est à venir.,The best is yet to come.,DET ADJ AUX ADP VERB PUNCT,"est-nsubj-meilleur,est-cop-est,est-obl-venir,meilleur-det-le,venir-case-à",0.8,2
"La vie est un voyage, pas une destination.","Life is a journey, not a destination.",DET NOUN AUX DET NOUN PUNCT ADV DET NOUN PUNCT,"est-nsubj-vie,est-cop-est,est-obj-voyage,voyage-det-un,destination-det-une,vie-det-la",0.7,2
L'adversité révèle le caractère.,Adversity reveals character.,DET NOUN VERB DET NOUN PUNCT,"révèle-nsubj-adversité,révèle-obj-caractère,caractère-det-le,adversité-det-l'",0.6,2
La foi en l'avenir nous guide.,Faith in the future guides us.,DET NOUN ADP DET NOUN PRON VERB PUNCT,"guide-nsubj-foi,foi-obl-avenir,avenir-det-l',guide-iobj-nous,foi-det-la,avenir-case-en l'",0.9,3
Chaque jour est une nouvelle opportunité.,Every day is a new opportunity.,DET NOUN AUX DET ADJ NOUN PUNCT,"est-nsubj-jour,est-cop-est,est-obj-opportunité,opportunité-det-une,opportunité-amod-nouvelle,jour-det-chaque",0.8,2
Le vent tourne toujours en notre faveur.,The wind always turns in our favor.,DET NOUN VERB ADV ADP DET NOUN PUNCT,"tourne-nsubj-vent,tourne-advmod-toujours,tourne-obl-faveur,faveur-det-notre,vent-det-le,faveur-case-en",0.7,2
La résilience est la capacité de rebondir.,Resilience is the ability to bounce back.,DET NOUN AUX DET NOUN ADP VERB PUNCT,"est-nsubj-résilience,est-cop-est,est-obj-capacité,capacité-det-la,capacité-obl-rebondir,résilience-det-la,rebondir-case-de",0.9,2
Les défis sont faits pour être surmontés.,Challenges are meant to be overcome.,DET NOUN AUX VERB ADP VERB PUNCT,"sont-nsubj-défis,sont-cop-sont,sont-amod-faits,faits-obl-surmontés,surmontés-case-pour être,défis-det-les",0.7,2
L'espoir est la dernière chose qui meurt.,Hope is the last thing that dies.,DET NOUN AUX DET ADJ NOUN PRON VERB PUNCT,"est-nsubj-espoir,est-cop-est,est-obj-chose,chose-det-la,chose-amod-dernière,meurt-nsubj-qui,espoir-det-l'",0.8,2
Nous ne sommes jamais seuls.,We are never alone.,PRON ADV AUX ADV ADJ PUNCT,"sommes-nsubj-nous,sommes-advmod-jamais,sommes-amod-seuls",0.7,2
La force est en vous.,Strength is in you.,DET NOUN AUX ADP PRON PUNCT,"est-nsubj-force,est-cop-est,est-obl-vous,force-det-la,vous-case-en",0.8,2
Le courage est contagieux.,Courage is contagious.,DET NOUN AUX ADJ PUNCT,"est-nsubj-courage,est-cop-est,est-amod-contagieux,courage-det-le",0.9,2
La joie reviendra.,Joy will return.,DET NOUN VERB PUNCT,"reviendra-nsubj-joie,joie-det-la",0.8,2
Le bonheur est un choix.,Happiness is a choice.,DET NOUN AUX DET NOUN PUNCT,"est-nsubj-bonheur,est-cop-est,est-obj-choix,choix-det-un,bonheur-det-le",0.9,2
La persévérance paie toujours.,Perseverance always pays off.,DET NOUN VERB ADV PUNCT,"paie-nsubj-persévérance,paie-advmod-toujours,persévérance-det-la",0.8,2
Il faut garder espoir.,One must keep hope.,PRON AUX VERB NOUN PUNCT,"faut-nsubj-il,faut-xcomp-garder,garder-obj-espoir",0.8,2
Soyez optimistes face à l'avenir.,Be optimistic about the future.,VERB ADJ ADP DET NOUN PUNCT,"soyez-amod-optimistes,optimistes-obl-avenir,avenir-det-l',avenir-case-face à l'",0.9,1
Les difficultés nous rendent plus sages.,Difficulties make us wiser.,DET NOUN PRON VERB ADV ADJ PUNCT,"rendent-nsubj-difficultés,rendent-iobj-nous,rendent-advmod-plus,rendent-amod-sages,difficultés-det-les",0.6,3
La vie est belle.,Life is beautiful.,DET NOUN AUX ADJ PUNCT,"est-nsubj-vie,est-cop-est,est-amod-belle,vie-det-la",0.9,2
Le sourire est le meilleur remède.,A smile is the best remedy.,DET NOUN AUX DET ADJ NOUN PUNCT,"est-nsubj-sourire,est-cop-est,est-obj-remède,remède-det-le meilleur,sourire-det-le",0.9,2
Chaque fin est un nouveau départ.,Every end is a new beginning.,DET NOUN AUX DET ADJ NOUN PUNCT,"est-nsubj-fin,est-cop-est,est-obj-départ,départ-det-un nouveau,fin-det-chaque",0.7,2
La patience est une clé.,Patience is a key.,DET NOUN AUX DET NOUN PUNCT,"est-nsubj-patience,est-cop-est,est-obj-clé,clé-det-une,patience-det-la",0.7,2
Les rêves sont la réalité de demain.,Dreams are tomorrow's reality.,DET NOUN AUX DET NOUN ADP NOUN PUNCT,"sont-nsubj-rêves,sont-cop-sont,sont-obj-réalité,réalité-det-la,réalité-nmod-demain,rêves-det-les",0.8,2
Le courage est de faire ce qui est juste.,Courage is doing what is right.,DET NOUN AUX VERB PRON VERB ADJ PUNCT,"est-nsubj-courage,est-cop-est,est-xcomp-faire,faire-nsubj-qui,est-cop-est,est-amod-juste,courage-det-le",0.8,2
L'optimisme attire le succès.,Optimism attracts success.,DET NOUN VERB DET NOUN PUNCT,"attire-nsubj-optimisme,attire-obj-succès,succès-det-le,optimisme-det-l'",0.9,2
Les petites victoires mènent aux grandes.,Small victories lead to big ones.,DET ADJ NOUN VERB ADP DET ADJ PUNCT,"mènent-nsubj-victoires,victoires-amod-petites,mènent-obl-grandes,grandes-det-aux,victoires-det-les",0.8,3
La détermination est une force puissante.,Determination is a powerful force.,DET NOUN AUX DET NOUN ADJ PUNCT,"est-nsubj-détermination,est-cop-est,est-obj-force,force-det-une,force-amod-puissante,détermination-det-la",0.9,2
Le temps guérit toutes les blessures.,Time heals all wounds.,DET NOUN VERB DET DET NOUN PUNCT,"guérit-nsubj-temps,guérit-obj-blessures,blessures-det-toutes les,temps-det-le",0.6,2
L'espoir est un phare dans la tempête.,Hope is a lighthouse in the storm.,DET NOUN AUX DET NOUN ADP DET NOUN PUNCT,"est-nsubj-espoir,est-cop-est,est-obj-phare,phare-det-un,phare-obl-tempête,tempête-det-la,espoir-det-l',tempête-case-dans la",0.8,2
Nous sommes les architectes de notre destin.,We are the architects of our destiny.,PRON AUX DET NOUN ADP DET NOUN PUNCT,"sommes-nsubj-nous,sommes-cop-sommes,sommes-obj-architectes,architectes-det-les,architectes-nmod-destin,destin-det-notre",0.8,2
La confiance en soi est essentielle.,Self-confidence is essential.,DET NOUN ADP PRON AUX ADJ PUNCT,"est-nsubj-confiance,confiance-case-en,confiance-obj-soi,est-cop-est,est-amod-essentielle,confiance-det-la",0.9,3
Le bonheur est à portée de main.,Happiness is within reach.,DET NOUN AUX ADP NOUN ADP NOUN PUNCT,"est-nsubj-bonheur,est-cop-est,est-obl-portée,portée-case-à,portée-nmod-main,main-case-de,bonheur-det-le",0.8,2
La vie est une leçon.,Life is a lesson.,DET NOUN AUX DET NOUN PUNCT,"est-nsubj-vie,est-cop-est,est-obj-leçon,leçon-det-une,vie-det-la",0.7,2
Le changement est une opportunité.,Change is an opportunity.,DET NOUN AUX DET NOUN PUNCT,"est-nsubj-changement,est-cop-est,est-obj-opportunité,opportunité-det-une,changement-det-le",0.7,2
La sagesse vient de l'expérience.,Wisdom comes from experience.,DET NOUN VERB ADP DET NOUN PUNCT,"vient-nsubj-sagesse,vient-obl-expérience,expérience-det-l',sagesse-det-la,expérience-case-de l'",0.6,2
Le partage renforce les liens.,Sharing strengthens bonds.,DET NOUN VERB DET NOUN PUNCT,"renforce-nsubj-partage,renforce-obj-liens,liens-det-les,partage-det-le",0.7,2
La gentillesse est un langage universel.,Kindness is a universal language.,DET NOUN AUX DET NOUN ADJ PUNCT,"est-nsubj-gentillesse,est-cop-est,est-obj-langage,langage-det-un,langage-amod-universel,gentillesse-det-la",0.9,2
Le rire est le meilleur remède.,Laughter is the best medicine.,DET NOUN AUX DET ADJ NOUN PUNCT,"est-nsubj-rire,est-cop-est,est-obj-remède,remède-det-le meilleur,rire-det-le",0.9,2
L'amour est la force la plus puissante.,Love is the most powerful force.,DET NOUN AUX DET NOUN DET ADJ PUNCT,"est-nsubj-amour,est-cop-est,est-obj-force,force-det-la,force-amod-plus puissante,amour-det-l'",0.9,2
La paix commence par un sourire.,Peace begins with a smile.,DET NOUN VERB ADP DET NOUN PUNCT,"commence-nsubj-paix,commence-obl-sourire,sourire-det-un,paix-det-la,sourire-case-par un",0.8,2
Le pardon libère l'âme.,Forgiveness frees the soul.,DET NOUN VERB DET NOUN PUNCT,"libère-nsubj-pardon,libère-obj-âme,âme-det-l',pardon-det-le",0.8,2
La gratitude transforme la vie.,Gratitude transforms life.,DET NOUN VERB DET NOUN PUNCT,"transforme-nsubj-gratitude,transforme-obj-vie,vie-det-la,gratitude-det-la",0.9,2
La simplicité est la clé du bonheur.,Simplicity is the key to happiness.,DET NOUN AUX DET NOUN ADP DET NOUN PUNCT,"est-nsubj-simplicité,est-cop-est,est-obj-clé,clé-det-la,clé-nmod-bonheur,bonheur-case-du,simplicité-det-la",0.7,2
Le temps est précieux.,Time is precious.,DET NOUN AUX ADJ PUNCT,"est-nsubj-temps,est-cop-est,est-amod-précieux,temps-det-le",0.6,2
La créativité n'a pas de limites.,Creativity has no limits.,DET NOUN VERB ADV ADP NOUN PUNCT,"a-nsubj-créativité,a-advmod-pas,a-obj-limites,limites-case-de,créativité-det-la",0.7,2
Le savoir est une arme.,Knowledge is a weapon.,DET NOUN AUX DET NOUN PUNCT,"est-nsubj-savoir,est-cop-est,est-obj-arme,arme-det-une,savoir-det-le",0.7,2
La persévérance est le secret.,Perseverance is the secret.,DET NOUN AUX DET NOUN PUNCT,"est-nsubj-persévérance,est-cop-est,est-obj-secret,secret-det-le,persévérance-det-la",0.9,2
Le courage est de faire face.,Courage is facing.,DET NOUN AUX VERB NOUN PUNCT,"est-nsubj-courage,est-cop-est,est-xcomp-faire,faire-obj-face,courage-det-le",0.8,2
La joie est contagieuse.,Joy is contagious.,DET NOUN AUX ADJ PUNCT,"est-nsubj-joie,est-cop-est,est-amod-contagieuse,joie-det-la",0.9,2
Le silence est d'or.,Silence is golden.,DET NOUN AUX ADP NOUN PUNCT,"est-nsubj-silence,est-cop-est,est-obl-or,or-case-d',silence-det-le",0.5,2
La vie est un écho.,Life is an echo.,DET NOUN AUX DET NOUN PUNCT,"est-nsubj-vie,est-cop-est,est-obj-écho,écho-det-un,vie-det-la",0.6,2
Le bonheur est un voyage.,Happiness is a journey.,DET NOUN AUX DET NOUN PUNCT,"est-nsubj-bonheur,est-cop-est,est-obj-voyage,voyage-det-un,bonheur-det-le",0.8,2
Le temps est un grand maître.,Time is a great teacher.,DET NOUN AUX DET ADJ NOUN PUNCT,"est-nsubj-temps,est-cop-est,est-obj-maître,maître-det-un grand,temps-det-le",0.6,2
La liberté est le souffle de la vie.,Freedom is the breath of life.,DET NOUN AUX DET NOUN ADP DET NOUN PUNCT,"est-nsubj-liberté,est-cop-est,est-obj-souffle,souffle-det-le,souffle-nmod-vie,vie-case-de la,liberté-det-la",0.9,2
L'imagination est plus importante que la connaissance.,Imagination is more important than knowledge.,DET NOUN AUX ADV ADJ CCONJ DET NOUN PUNCT,"est-nsubj-imagination,est-cop-est,est-advmod-plus,est-amod-importante,importante-obl-connaissance,connaissance-det-la,imagination-det-l'",0.7,2
Le plus grand voyageur est celui qui a fait le tour de lui-même.,The greatest traveler is he who has traveled around himself.,DET ADJ NOUN AUX PRON PRON AUX VERB DET NOUN ADP PRON PUNCT,"est-nsubj-voyageur,voyageur-amod-plus grand,est-cop-est,est-obj-celui,fait-nsubj-qui,fait-aux-a,fait-obj-tour,tour-det-le,tour-obl-lui-même,lui-même-case-de,voyageur-det-le",0.6,2
La vie est ce qui arrive quand vous êtes occupé à faire d'autres plans.,Life is what happens when you are busy making other plans.,DET NOUN AUX PRON VERB ADV PRON AUX ADJ ADP VERB DET ADJ NOUN PUNCT,"est-nsubj-vie,est-cop-est,arrive-nsubj-qui,arrive-advmod-quand,êtes-nsubj-vous,êtes-cop-êtes,êtes-amod-occupé,occupé-xcomp-faire,faire-obj-plans,plans-det-d'autres,vie-det-la",0.5,2
Le bonheur n'est pas quelque chose que l'on reporte.,Happiness is not something one postpones.,DET NOUN ADV AUX ADV DET NOUN PRON VERB PUNCT,"est-nsubj-bonheur,est-advmod-pas,est-cop-est,est-obj-quelque chose,reporte-nsubj-que,reporte-iobj-l'on,bonheur-det-le",0.7,2
La seule façon de faire du bon travail est d'aimer ce que vous faites.,The only way to do good work is to love what you do.,DET ADJ NOUN ADP VERB ADP DET ADJ NOUN AUX ADP VERB PRON VERB PUNCT,"façon-det-la seule,façon-obl-faire,faire-case-de,faire-obj-travail,travail-det-du bon,est-nsubj-façon,est-cop-est,est-xcomp-aimer,aimer-case-d',faites-nsubj-vous,faites-obj-ce que",0.8,4
Le succès n'est pas la clé du bonheur. Le bonheur est la clé du succès.,Success is not the key to happiness. Happiness is the key to success.,DET NOUN ADV AUX DET NOUN ADP DET NOUN PUNCT DET NOUN AUX DET NOUN ADP DET NOUN PUNCT,"est-nsubj-succès,est-advmod-pas,est-cop-est,est-obj-clé,clé-det-la,clé-nmod-bonheur,bonheur-case-du,est-nsubj-bonheur,est-cop-est,est-obj-clé,clé-det-la,clé-nmod-succès,succès-case-du,succès-det-le,bonheur-det-le",0.7,4
Le futur appartient à ceux qui croient en la beauté de leurs rêves.,The future belongs to those who believe in the beauty of their dreams.,DET NOUN VERB ADP PRON PRON VERB ADP DET NOUN ADP DET NOUN PUNCT,"appartient-nsubj-futur,appartient-obl-ceux,croient-nsubj-qui,croient-obl-beauté,beauté-det-la,beauté-nmod-rêves,rêves-det-leurs,futur-det-le,ceux-case-à,beauté-case-en la",0.8,2
Le meilleur moyen de prédire l'avenir est de le créer.,The best way to predict the future is to create it.,DET ADJ NOUN ADP VERB DET NOUN AUX ADP PRON VERB PUNCT,"moyen-det-le meilleur,moyen-obl-prédire,prédire-case-de,prédire-obj-avenir,avenir-det-l',est-nsubj-moyen,est-cop-est,est-xcomp-créer,créer-case-de le,créer-obj-le,moyen-det-le",0.7,4
"Le bonheur est une direction, non un lieu.","Happiness is a direction, not a place.",DET NOUN AUX DET NOUN PUNCT ADV DET NOUN PUNCT,"est-nsubj-bonheur,est-cop-est,est-obj-direction,direction-det-une,lieu-det-un,bonheur-det-le",0.8,2
"La vie est courte, profitez-en.","Life is short, enjoy it.",DET NOUN AUX ADJ PUNCT VERB PRON PUNCT,"est-nsubj-vie,est-cop-est,est-amod-courte,profitez-obj-en,vie-det-la",0.7,2
Le monde est plein de possibilités.,The world is full of possibilities.,DET NOUN AUX ADJ ADP NOUN PUNCT,"est-nsubj-monde,est-cop-est,est-amod-plein,plein-obl-possibilités,possibilités-case-de,monde-det-le",0.7,2
La gentillesse est la monnaie de l'âme.,Kindness is the currency of the soul.,DET NOUN AUX DET NOUN ADP DET NOUN PUNCT,"est-nsubj-gentillesse,est-cop-est,est-obj-monnaie,monnaie-det-la,monnaie-nmod-âme,âme-det-l',gentillesse-det-la",0.9,2
Le savoir est une richesse.,Knowledge is a wealth.,DET NOUN AUX DET NOUN PUNCT,"est-nsubj-savoir,est-cop-est,est-obj-richesse,richesse-det-une,savoir-det-le",0.7,2
La persévérance est le secret de tous les triomphes.,Perseverance is the secret of all triumphs.,DET NOUN AUX DET NOUN ADP DET DET NOUN PUNCT,"est-nsubj-persévérance,est-cop-est,est-obj-secret,secret-det-le,secret-nmod-triomphes,triomphes-det-tous les,persévérance-det-la",0.9,2
Le courage est de faire ce que l'on a peur de faire.,Courage is doing what you are afraid to do.,DET NOUN AUX VERB PRON VERB NOUN ADP VERB PUNCT,"est-nsubj-courage,est-cop-est,est-xcomp-faire,faire-nsubj-que,a-nsubj-l'on,a-obj-peur,peur-xcomp-faire,peur-case-de,courage-det-le",0.6,2
La joie de vivre est un cadeau.,The joy of living is a gift.,DET NOUN ADP VERB AUX DET NOUN PUNCT,"est-nsubj-joie,joie-obl-vivre,vivre-case-de,est-cop-est,est-obj-cadeau,cadeau-det-un,joie-det-la",0.8,2
Le silence est la meilleure réponse à un fou.,Silence is the best answer to a fool.,DET NOUN AUX DET ADJ NOUN ADP DET NOUN PUNCT,"est-nsubj-silence,est-cop-est,est-obj-réponse,réponse-det-la meilleure,réponse-obl-fou,fou-det-un,silence-det-le,fou-case-à un",0.5,2
"La vie est comme une bicyclette, il faut avancer pour ne pas perdre l'équilibre.","Life is like a bicycle, you have to move forward so as not to lose your balance.",DET NOUN AUX ADP DET NOUN PUNCT PRON AUX VERB VERB ADP ADV VERB DET NOUN PUNCT,"est-nsubj-vie,est-cop-est,est-obl-bicyclette,bicyclette-case-comme une,faut-nsubj-il,faut-xcomp-avancer,avancer-obl-perdre,perdre-case-pour ne pas,perdre-obj-équilibre,équilibre-det-l',vie-det-la",0.6,2
Le bonheur est un état d'esprit.,Happiness is a state of mind.,DET NOUN AUX DET NOUN ADP NOUN PUNCT,"est-nsubj-bonheur,est-cop-est,est-obj-état,état-det-un,état-nmod-esprit,esprit-case-d',bonheur-det-le",0.8,2
Le temps est le plus grand des innovateurs.,Time is the greatest innovator.,DET NOUN AUX DET ADJ ADP DET NOUN PUNCT,"est-nsubj-temps,est-cop-est,est-obj-innovateurs,innovateurs-det-le plus grand,innovateurs-case-des,temps-det-le",0.6,2
L'imagination est le début de la création.,Imagination is the beginning of creation.,DET NOUN AUX DET NOUN ADP DET NOUN PUNCT,"est-nsubj-imagination,est-cop-est,est-obj-début,début-det-le,début-nmod-création,création-case-de la,imagination-det-l'",0.7,2
Le plus grand plaisir de la vie est de faire ce que les gens disent que vous ne pouvez pas faire.,The greatest pleasure in life is doing what people say you cannot do.,DET ADJ NOUN ADP DET NOUN AUX ADP VERB PRON DET NOUN VERB PRON AUX ADV VERB PUNCT,"plaisir-det-le plus grand,plaisir-nmod-vie,vie-case-de la,est-nsubj-plaisir,est-cop-est,est-xcomp-faire,faire-case-de,faire-obj-ce que,disent-nsubj-gens,disent-obj-que,pouvez-nsubj-vous,pouvez-advmod-pas,pouvez-xcomp-faire,plaisir-det-le",0.5,2
La vie est ce que nous en faisons.,Life is what we make of it.,DET NOUN AUX PRON PRON VERB PUNCT,"est-nsubj-vie,est-cop-est,faisons-nsubj-nous,faisons-obj-ce que,faisons-obj-en,vie-det-la",0.6,2
Le bonheur n'est pas une station où l'on arrive.,Happiness is not a station where one arrives.,DET NOUN ADV AUX DET NOUN ADV PRON VERB PUNCT,"est-nsubj-bonheur,est-advmod-pas,est-cop-est,est-obj-station,station-det-une,arrive-nsubj-l'on,arrive-advmod-où,bonheur-det-le",0.7,2
Le succès est la somme de petits efforts répétés jour après jour.,Success is the sum of small efforts repeated day after day.,DET NOUN AUX DET NOUN ADP ADJ NOUN VERB NOUN ADP NOUN PUNCT,"est-nsubj-succès,est-cop-est,est-obj-somme,somme-det-la,somme-nmod-efforts,efforts-amod-petits,efforts-amod-répétés,efforts-obl-jour,jour-case-après jour,succès-det-le",0.7,2
Le futur est entre nos mains.,The future is in our hands.,DET NOUN AUX ADP DET NOUN PUNCT,"est-nsubj-futur,est-cop-est,est-obl-mains,mains-det-nos,futur-det-le,mains-case-entre nos",0.8,2
Le meilleur moment pour planter un arbre était il y a 20 ans. Le deuxième meilleur moment est maintenant.,The best time to plant a tree was 20 years ago. The second best time is now.,DET ADJ NOUN ADP VERB DET NOUN AUX PRON ADV ADP NUM NOUN PUNCT DET ADJ ADJ NOUN AUX ADV PUNCT,"moment-det-le meilleur,moment-obl-planter,planter-case-pour,planter-obj-arbre,arbre-det-un,était-nsubj-moment,était-advmod-il y a,ans-num-20,moment-det-le deuxième meilleur,est-nsubj-moment,est-cop-est,est-advmod-maintenant",0.7,4
Le bonheur est une attitude.,Happiness is an attitude.,DET NOUN AUX DET NOUN PUNCT,"est-nsubj-bonheur,est-cop-est,est-obj-attitude,attitude-det-une,bonheur-det-le",0.8,2
